Player	Salary	Year
Patrick Ewing	$4,250,000	1990
Hot Rod Williams	$3,785,000	1990
Hakeem Olajuwon	$3,175,000	1990
Charles Barkley	$2,900,000	1990
Chris Mullin	$2,850,000	1990
Isiah Thomas	$2,720,000	1990
Danny Ferry	$2,640,000	1990
Michael Jordan	$2,500,000	1990
Robert Parish	$2,500,000	1990
Moses Malone	$2,406,000	1990
Magic Johnson	$2,400,000	1990
Wayman Tisdale	$2,330,000	1990
Pervis Ellison	$2,300,000	1990
David Robinson	$2,265,000	1990
Karl Malone	$2,260,000	1990
Ralph Sampson	$2,250,000	1990
Danny Manning	$2,200,000	1990
Blair Rasmussen	$2,185,000	1990
Chuck Person	$2,150,000	1990
Derrick Coleman	$2,100,000	1990
Dominique Wilkins	$2,065,000	1990
Tom Chambers	$2,060,000	1990
Mark Eaton	$2,000,000	1990
John Stockton	$2,000,000	1990
Terry Porter	$2,000,000	1990
Willie Burton	$2,000,000	1990
LaSalle Thompson	$2,000,000	1990
Sam Bowie	$2,000,000	1990
Sam Perkins	$1,970,000	1990
Terry Cummings	$1,860,000	1990
Sean Elliott	$1,800,000	1990
Mark Jackson	$1,785,000	1990
Otis Thorpe	$1,760,000	1990
Kevin Johnson	$1,750,000	1990
Benoit Benjamin	$1,750,000	1990
A.C. Green	$1,750,000	1990
Kevin Duckworth	$1,710,000	1990
Alton Lister	$1,700,000	1990
Gary Payton	$1,685,000	1990
Mahmoud Abdul-Rauf	$1,660,000	1990
Rolando Blackman	$1,650,000	1990
Mike Gminski	$1,650,000	1990
Bernard King	$1,600,000	1990
Jack Sikma	$1,600,000	1990
Alec Kessler	$1,600,000	1990
James Worthy	$1,600,000	1990
Dennis Scott	$1,560,000	1990
Buck Williams	$1,550,000	1990
Glen Rice	$1,550,000	1990
Jon Koncak	$1,550,000	1990
Fat Lever	$1,519,000	1990
Derek Harper	$1,519,000	1990
Bill Laimbeer	$1,510,000	1990
Johnny Dawkins	$1,500,000	1990
Danny Schayes	$1,500,000	1990
Alex English	$1,500,000	1990
Kendall Gill	$1,500,000	1990
Larry Bird	$1,500,000	1990
Xavier McDaniel	$1,400,000	1990
Sleepy Floyd	$1,400,000	1990
Vinnie Johnson	$1,400,000	1990
Mark Price	$1,400,000	1990
Kevin McHale	$1,400,000	1990
Ron Harper	$1,365,000	1990
Greg Anderson	$1,365,000	1990
Rik Smits	$1,350,000	1990
Rick Mahorn	$1,330,000	1990
Brad Daugherty	$1,320,000	1990
Manute Bol	$1,300,000	1990
Brad Lohaus	$1,275,000	1990
Sarunas Marciulionis	$1,270,000	1990
Larry Nance	$1,260,000	1990
Dale Ellis	$1,250,000	1990
J.R. Reid	$1,250,000	1990
Roy Hinson	$1,250,000	1990
Jim Petersen	$1,235,000	1990
Brian Shaw	$1,212,000	1990
Armen Gilliam	$1,200,000	1990
Tony Campbell	$1,200,000	1990
Johnny Newman	$1,200,000	1990
Drazen Petrovic	$1,200,000	1990
Clyde Drexler	$1,180,000	1990
Detlef Schrempf	$1,160,000	1990
Randy Breuer	$1,150,000	1990
Mark Aguirre	$1,115,000	1990
Wayne Cooper	$1,100,000	1990
Jeff Hornacek	$1,100,000	1990
Ricky Pierce	$1,100,000	1990
Byron Scott	$1,100,000	1990
Bill Cartwright	$1,100,000	1990
Terry Catledge	$1,085,000	1990
Felton Spencer	$1,070,000	1990
Charles Oakley	$1,050,000	1990
Ken Norman	$1,050,000	1990
Joe Dumars	$1,035,000	1990
Kiki Vandeweghe	$1,025,000	1990
John Williams	$1,000,000	1990
Thurl Bailey	$1,000,000	1990
Hersey Hawkins	$1,000,000	1990
Eddie Johnson	$1,000,000	1990
Maurice Cheeks	$1,000,000	1990
Charles Smith	$1,000,000	1990
Tyrone Hill	$1,000,000	1990
Herb Williams	$1,000,000	1990
Stacey King	$1,000,000	1990
Horace Grant	$1,000,000	1990
Kelly Tripucka	$1,000,000	1990
Joe Wolf	$990,000	1990
Rodney McCray	$985,000	1990
Sam Vincent	$980,000	1990
Derrick McKey	$962,000	1990
Bo Kimble	$950,000	1990
Chris Dudley	$950,000	1990
George McCloud	$940,000	1990
James Edwards	$935,000	1990
Lionel Simmons	$930,000	1990
Craig Ehlo	$925,000	1990
Jeff Malone	$915,000	1990
Dennis Hopson	$915,000	1990
Michael Cage	$910,000	1990
Frank Brickowski	$905,000	1990
Paul Pressey	$900,000	1990
Walter Davis	$900,000	1990
Kurt Rambis	$900,000	1990
Lester Conner	$900,000	1990
Dell Curry	$900,000	1990
Doc Rivers	$895,000	1990
Dennis Rodman	$880,000	1990
James Donaldson	$880,000	1990
Mark West	$875,000	1990
Kenny Walker	$875,000	1990
Alvin Robertson	$870,000	1990
Darrell Griffith	$850,000	1990
Mitch Richmond	$850,000	1990
William Bedford	$850,000	1990
Joe Kleine	$850,000	1990
Sidney Green	$837,000	1990
Trent Tucker	$835,000	1990
Tyrone Corbin	$830,000	1990
Loy Vaught	$825,000	1990
Michael Adams	$825,000	1990
Orlando Woolridge	$805,000	1990
Muggsy Bogues	$805,000	1990
Tom Hammonds	$800,000	1990
Travis Mays	$800,000	1990
Larry Smith	$800,000	1990
Tree Rollins	$800,000	1990
Rumeal Robinson	$800,000	1990
Tim McCormick	$775,000	1990
Vlade Divac	$770,000	1990
Roy Tarpley	$765,000	1990
Scottie Pippen	$765,000	1990
Reggie Theus	$765,000	1990
Mike Sanders	$760,000	1990
Rony Seikaly	$755,000	1990
David Wingate	$750,000	1990
Cliff Levingston	$750,000	1990
Chris Morris	$750,000	1990
Ed Pinckney	$750,000	1990
Randy White	$730,000	1990
Willie Anderson	$725,000	1990
Danny Ainge	$725,000	1990
Nick Anderson	$725,000	1990
Gerald Wilkins	$725,000	1990
Bill Wennington	$700,000	1990
Kenny Smith	$700,000	1990
Fred Roberts	$690,000	1990
Kevin Willis	$685,000	1990
Charles Jones	$675,000	1990
Tim Perry	$675,000	1990
Buck Johnson	$675,000	1990
Rex Chapman	$675,000	1990
Vern Fleming	$667,000	1990
Nate McMillan	$658,000	1990
Reggie Miller	$654,000	1990
Mike Brown	$650,000	1990
Dave Greenwood	$650,000	1990
Duane Causwell	$650,000	1990
Sedale Threatt	$650,000	1990
Jay Humphries	$650,000	1990
Dave Jamerson	$650,000	1990
Alexander Volkov	$650,000	1990
Chucky Brown	$630,000	1990
Pooh Richardson	$615,000	1990
Mychal Thompson	$615,000	1990
Darrell Walker	$610,000	1990
Antoine Carr	$610,000	1990
Ledell Eackles	$605,000	1990
Larry Krystkowiak	$605,000	1990
Jeff Grayer	$605,000	1990
Andrew Lang	$600,000	1990
Olden Polynice	$600,000	1990
Brad Davis	$600,000	1990
Craig Hodges	$600,000	1990
Terry Mills	$600,000	1990
Tod Murphy	$590,000	1990
John Battle	$590,000	1990
Gerald Glass	$575,000	1990
Elden Campbell	$575,000	1990
John Salley	$575,000	1990
Jerrod Mustaf	$565,000	1990
Todd Lichti	$565,000	1990
Bob Hansen	$550,000	1990
Jerome Kersey	$550,000	1990
Ed Nealy	$550,000	1990
Terry Teagle	$550,000	1990
Larry Drew	$550,000	1990
John Bagley	$550,000	1990
Steve Kerr	$548,000	1990
Dee Brown	$547,000	1990
Gary Grant	$530,000	1990
Winston Bennett	$525,000	1990
Derrick Chievous	$525,000	1990
Mookie Blaylock	$525,000	1990
